service,parent_topic_id,intent_leaves,train_rows,dev_rows,classifier_required,train_class_min,train_class_max,dev_class_min,dev_class_max,deterministic_intent,status,dev_accuracy,dev_macro_f1
NID,NID_REGISTRATION,20,120,60,True,6,6,3,3,,routed_service_model,0.55,0.4425
NID,NID_CORRECTION,10,60,30,True,6,6,3,3,,routed_service_model,0.9,0.8666666666666666
NID,NID_REPLACEMENT,7,42,21,True,6,6,3,3,,routed_service_model,0.3333333333333333,0.24025974025974026
NID,NID_ONLINE_SERVICES,13,78,39,True,6,6,3,3,,routed_service_model,0.6923076923076923,0.641025641025641
NID,NID_SMART_CARD,8,48,24,True,6,6,3,3,,routed_service_model,0.4583333333333333,0.36666666666666664
NID,NID_STATUS_AND_ACCESS,5,30,15,True,6,6,3,3,,routed_service_model,0.7333333333333333,0.6933333333333332
NID,NID_VOTER_SERVICES,3,18,9,True,6,6,3,3,,routed_service_model,1.0,1.0
NID,NID_FEES_AND_PAYMENT,5,30,15,True,6,6,3,3,,routed_service_model,0.4,0.3333333333333333
NID,NID_GENERAL_INFORMATION,2,12,6,True,6,6,3,3,,routed_service_model,0.5,0.3333333333333333
BIRTH_REGISTRATION,BR_REGISTRATION,13,78,39,True,6,6,3,3,,routed_service_model,0.20512820512820512,0.13136094674556212
BIRTH_REGISTRATION,BR_CORRECTION,7,42,21,True,6,6,3,3,,routed_service_model,0.3333333333333333,0.31428571428571433
BIRTH_REGISTRATION,BR_APPLICATION_MANAGEMENT,4,24,12,True,6,6,3,3,,routed_service_model,0.9166666666666666,0.9142857142857144
BIRTH_REGISTRATION,BR_CERTIFICATE_ACCESS,1,6,3,False,6,6,3,3,BR_CERTIFICATE_REPRINT,deterministic_single_leaf,1.0,1.0
BIRTH_REGISTRATION,BR_VERIFICATION,2,12,6,True,6,6,3,3,,routed_service_model,0.6666666666666666,0.625
BIRTH_REGISTRATION,BR_CANCELLATION,1,6,3,False,6,6,3,3,BR_CANCELLATION_PROCESS,deterministic_single_leaf,1.0,1.0
BIRTH_REGISTRATION,BR_FEES_AND_PAYMENT,1,6,3,False,6,6,3,3,BR_FEES_INFORMATION,deterministic_single_leaf,1.0,1.0
BIRTH_REGISTRATION,BR_GENERAL_INFORMATION,1,6,3,False,6,6,3,3,BR_GENERAL_INFORMATION,deterministic_single_leaf,1.0,1.0
PASSPORT,PASSPORT_APPLICATION,7,42,21,True,6,6,3,3,,routed_service_model,1.0,1.0
PASSPORT,PASSPORT_DOCUMENTS,8,48,24,True,6,6,3,3,,routed_service_model,0.6666666666666666,0.5904761904761905
PASSPORT,PASSPORT_ONLINE_ACCOUNT,8,48,24,True,6,6,3,3,,routed_service_model,0.75,0.6994047619047619
PASSPORT,PASSPORT_APPOINTMENT_AND_ENROLMENT,7,42,21,True,6,6,3,3,,routed_service_model,0.5714285714285714,0.4523809523809524
PASSPORT,PASSPORT_REISSUE,8,48,24,True,6,6,3,3,,routed_service_model,0.3333333333333333,0.2607142857142857
PASSPORT,PASSPORT_FEES_AND_PAYMENT,8,48,24,True,6,6,3,3,,routed_service_model,0.5,0.4083333333333333
PASSPORT,PASSPORT_STATUS_AND_DELIVERY,7,42,21,True,6,6,3,3,,routed_service_model,0.7142857142857143,0.677922077922078
PASSPORT,PASSPORT_GENERAL_INFORMATION,3,18,9,True,6,6,3,3,,routed_service_model,0.5555555555555556,0.5333333333333333
TAX,TAX_TIN_REGISTRATION,7,42,21,True,6,6,3,3,,routed_service_model,0.5238095238095238,0.4405071119356834
TAX,TAX_RETURN_FILING,8,48,24,True,6,6,3,3,,routed_service_model,0.2916666666666667,0.17479946524064172
TAX,TAX_ONLINE_ACCOUNT,6,36,18,True,6,6,3,3,,routed_service_model,0.3333333333333333,0.2333333333333333
TAX,TAX_PAYMENT,5,30,15,True,6,6,3,3,,routed_service_model,0.5333333333333333,0.5327272727272727
TAX,TAX_STATUS_AND_DOCUMENTS,4,24,12,True,6,6,3,3,,routed_service_model,0.4166666666666667,0.29166666666666663
TAX,TAX_GENERAL_AND_SUPPORT,3,18,9,True,6,6,3,3,,routed_service_model,0.8888888888888888,0.8857142857142857
POLICE_GD,POLICE_GD_GUIDANCE,4,24,12,True,6,6,3,3,,routed_service_model,0.75,0.6666666666666666
POLICE_GD,POLICE_GD_FILING,7,42,21,True,6,6,3,3,,routed_service_model,0.6190476190476191,0.560204081632653
POLICE_GD,POLICE_GD_INCIDENT_TYPE,5,30,15,True,6,6,3,3,,routed_service_model,0.0,0.0
POLICE_GD,POLICE_GD_ONLINE_ACCOUNT,6,36,18,True,6,6,3,3,,routed_service_model,0.3333333333333333,0.2722222222222222
POLICE_GD,POLICE_GD_STATUS_FOLLOWUP,4,24,12,True,6,6,3,3,,routed_service_model,0.5,0.35064935064935066
POLICE_GD,POLICE_GD_COPY_REFERENCE,3,18,9,True,6,6,3,3,,routed_service_model,0.3333333333333333,0.3333333333333333
POLICE_GD,POLICE_GD_TECHNICAL_PROBLEMS,2,12,6,True,6,6,3,3,,routed_service_model,0.8333333333333334,0.8285714285714285
POLICE_GD,POLICE_GD_GENERAL_INFORMATION,1,6,3,False,6,6,3,3,POLICE_GD_GENERAL_SERVICE_GUIDANCE,deterministic_single_leaf,1.0,1.0
DRIVING_LICENCE,DRIVING_LICENCE_LEARNER,5,30,15,True,6,6,3,3,,routed_service_model,0.4,0.3090909090909091
DRIVING_LICENCE,DRIVING_LICENCE_APPLICATION,4,24,12,True,6,6,3,3,,routed_service_model,0.75,0.6517857142857143
DRIVING_LICENCE,DRIVING_LICENCE_TEST,5,30,15,True,6,6,3,3,,routed_service_model,0.0,0.0
DRIVING_LICENCE,DRIVING_LICENCE_ONLINE_ACCOUNT,5,30,15,True,6,6,3,3,,routed_service_model,0.6,0.530952380952381
DRIVING_LICENCE,DRIVING_LICENCE_PAYMENT,4,24,12,True,6,6,3,3,,routed_service_model,0.5,0.3333333333333333
DRIVING_LICENCE,DRIVING_LICENCE_STATUS_DELIVERY,5,30,15,True,6,6,3,3,,routed_service_model,0.4,0.3
DRIVING_LICENCE,DRIVING_LICENCE_RENEWAL,3,18,9,True,6,6,3,3,,routed_service_model,0.0,0.0
DRIVING_LICENCE,DRIVING_LICENCE_REPLACEMENT,3,18,9,True,6,6,3,3,,routed_service_model,0.3333333333333333,0.19999999999999998
DRIVING_LICENCE,DRIVING_LICENCE_CHANGES,4,24,12,True,6,6,3,3,,routed_service_model,0.75,0.6666666666666666
DRIVING_LICENCE,DRIVING_LICENCE_GENERAL,2,12,6,True,6,6,3,3,,routed_service_model,1.0,1.0
